                    instance, dim, nVertices, nFaces, orientable,   QQLvTimeA,   M2
 manifold_lex_d2_n6_o0_g1_#1,2,6,10,0, 0.001377876,0.0261476 
 manifold_lex_d2_n6_o1_g0_#1,2,6,8,1,  0.00117741, 0.0213832 
 manifold_lex_d2_n6_o1_g0_#2,2,6,8,1, 0.001175305, 0.0261837 
 manifold_lex_d2_n7_o0_g1_#1,2,7,12,0, 0.002748759, 0.0531174 
 manifold_lex_d2_n7_o0_g1_#2,2,7,12,0,  0.00305822, 0.0537298 
 manifold_lex_d2_n7_o0_g1_#3,2,7,12,0, 0.002902155, 0.0539154 
 manifold_lex_d2_n7_o1_g0_#1,2,7,10,1, 0.002153181, 0.0455433 
 manifold_lex_d2_n7_o1_g0_#2,2,7,10,1, 0.002354069, 0.0505697 
 manifold_lex_d2_n7_o1_g0_#3,2,7,10,1, 0.002551839, 0.0499793 
 manifold_lex_d2_n7_o1_g0_#4,2,7,10,1, 0.002417657, 0.0489826 
 manifold_lex_d2_n7_o1_g0_#5,2,7,10,1,  0.00271254, 0.0491283 
 manifold_lex_d2_n7_o1_g1_#1,2,7,14,1,  0.00434248, 0.0626944 
 manifold_lex_d2_n8_o0_g1_#1,2,8,14,0, 0.005904299, 0.110472 
 manifold_lex_d2_n8_o0_g1_#2,2,8,14,0, 0.006454584, 0.110719 
 manifold_lex_d2_n8_o0_g1_#3,2,8,14,0, 0.006082523, 0.111158 
 manifold_lex_d2_n8_o0_g1_#4,2,8,14,0, 0.006841769, 0.110363 
 manifold_lex_d2_n8_o0_g1_#5,2,8,14,0, 0.006821056, 0.109561 
 manifold_lex_d2_n8_o0_g1_#6,2,8,14,0, 0.007070325, 0.108804 
 manifold_lex_d2_n8_o0_g1_#7,2,8,14,0, 0.006349385, 0.109793 
 manifold_lex_d2_n8_o0_g1_#8,2,8,14,0, 0.006902693, 0.110204 
 manifold_lex_d2_n8_o0_g1_#9,2,8,14,0, 0.006829211, 0.110262 
manifold_lex_d2_n8_o0_g1_#10,2,8,14,0, 0.006208351, 0.110026 
manifold_lex_d2_n8_o0_g1_#11,2,8,14,0, 0.006118882, 0.111425 
manifold_lex_d2_n8_o0_g1_#12,2,8,14,0,  0.00716109, 0.109832 
manifold_lex_d2_n8_o0_g1_#13,2,8,14,0, 0.008135498, 0.110198 
manifold_lex_d2_n8_o0_g1_#14,2,8,14,0,  0.00812932, 0.109407 
manifold_lex_d2_n8_o0_g1_#15,2,8,14,0, 0.006892971, 0.110599 
manifold_lex_d2_n8_o0_g1_#16,2,8,14,0, 0.007570766, 0.109531 
 manifold_lex_d2_n8_o0_g2_#1,2,8,16,0, 0.008914878, 0.121977 
 manifold_lex_d2_n8_o0_g2_#2,2,8,16,0, 0.009048937, 0.122689 
 manifold_lex_d2_n8_o0_g2_#3,2,8,16,0, 0.010307117, 0.120149 
 manifold_lex_d2_n8_o0_g2_#4,2,8,16,0, 0.010444031, 0.121927 
 manifold_lex_d2_n8_o0_g2_#5,2,8,16,0, 0.009918346, 0.122456 
 manifold_lex_d2_n8_o0_g2_#6,2,8,16,0, 0.009519726, 0.120411 
manifold_lex_d2_n8_o1_g0_#01,2,8,12,1,   0.0045944, 0.104573 
manifold_lex_d2_n8_o1_g0_#02,2,8,12,1, 0.005288124, 0.105064 
manifold_lex_d2_n8_o1_g0_#03,2,8,12,1, 0.004916787, 0.100863 
manifold_lex_d2_n8_o1_g0_#04,2,8,12,1, 0.005392849, 0.106458 
manifold_lex_d2_n8_o1_g0_#05,2,8,12,1, 0.005687946, 0.101657 
manifold_lex_d2_n8_o1_g0_#06,2,8,12,1, 0.004859908, 0.104917 
manifold_lex_d2_n8_o1_g0_#07,2,8,12,1, 0.005155644, 0.100191 
manifold_lex_d2_n8_o1_g0_#08,2,8,12,1, 0.005049713, 0.106642 
manifold_lex_d2_n8_o1_g0_#09,2,8,12,1, 0.005462471, 0.103891 
manifold_lex_d2_n8_o1_g0_#10,2,8,12,1, 0.005630172, 0.103995 
manifold_lex_d2_n8_o1_g0_#11,2,8,12,1, 0.004981496, 0.100532 
manifold_lex_d2_n8_o1_g0_#12,2,8,12,1, 0.005886304, 0.104951 
manifold_lex_d2_n8_o1_g0_#13,2,8,12,1, 0.005237436, 0.10568 
manifold_lex_d2_n8_o1_g0_#14,2,8,12,1, 0.005815001, 0.102907 
 manifold_lex_d2_n8_o1_g1_#1,2,8,16,1, 0.009129807, 0.12349 
 manifold_lex_d2_n8_o1_g1_#2,2,8,16,1, 0.010480663, 0.125721 
 manifold_lex_d2_n8_o1_g1_#3,2,8,16,1, 0.010093805, 0.124333 
 manifold_lex_d2_n8_o1_g1_#4,2,8,16,1,    0.011587, 0.129311 
 manifold_lex_d2_n8_o1_g1_#5,2,8,16,1,    0.011588, 0.12628 
 manifold_lex_d2_n8_o1_g1_#6,2,8,16,1, 0.009713362, 0.128801 
 manifold_lex_d2_n8_o1_g1_#7,2,8,16,1,    0.011276, 0.12594 

