instance, H1, nVertices, nFaces, q, QQLvTime, QQLvMemory, QQLvTrials, QQLvTimeA, QQLvMemoryA, QQLvTimeB, QQLvMemory, QQLvmaxLenBefore, QQLvmaxDegBefore, QQLvmaxLenAfter, QQLvmaxDegAfter, F2LvTime, F2LvMemory, F2LvTrials, F2LvTimeA, F2LvMemoryA, F2LvTimeB, F2LvMemory, F2LvmaxLenBefore, F2LvmaxDegBefore, F2LvmaxLenAfter, F2LvmaxDegAfter, F4LvTime, F4LvMemory, F4LvTrials, F4LvTimeA, F4LvMemoryA, F4LvTimeB, F4LvMemory, F4LvmaxLenBefore, F4LvmaxDegBefore, F4LvmaxLenAfter, F4LvmaxDegAfter, F3LvTime, F3LvMemory, F3LvTrials, F3LvTimeA, F3LvMemoryA, F3LvTimeB, F3LvMemory, F3LvmaxLenBefore, F3LvmaxDegBefore, F3LvmaxLenAfter, F3LvmaxDegAfter, F9LvTime, F9LvMemory, F9LvTrials, F9LvTimeA, F9LvMemoryA, F9LvTimeB, F9LvMemory, F9LvmaxLenBefore, F9LvmaxDegBefore, F9LvmaxLenAfter, F9LvmaxDegAfter, F5LvTime, F5LvMemory, F5LvTrials, F5LvTimeA, F5LvMemoryA, F5LvTimeB, F5LvMemory, F5LvmaxLenBefore, F5LvmaxDegBefore, F5LvmaxLenAfter, F5LvmaxDegAfter, F25LvTime, F25LvMemory, F25LvTrials, F25LvTimeA, F25LvMemoryA, F25LvTimeB, F25LvMemory, F25LvmaxLenBefore, F25LvmaxDegBefore, F25LvmaxLenAfter, F25LvmaxDegAfter
complex_z3.mrdi, Z/3, 8, 25, 1, 0.219772587, 16753392, 1, 0.000300915, 1229632, 0.157166579, 7852168, n/a, n/a, n/a, n/a, 1.542441917, 215897760, 4, 0.049867057, 98868080, 0.160777274, 7851992, n/a, n/a, n/a, n/a, 2.513485641, 913118960, 1, 0.845760034, 775756056, 0.163144216, 7851992, n/a, n/a, n/a, n/a, 1.518862342, 207496064, 1, 0.054257476, 90484672, 0.1610697, 7851992, n/a, n/a, n/a, n/a, 2.46520072, 920106120, 1, 0.776699051, 781581984, 0.161270736, 7851992, n/a, n/a, n/a, n/a, 1.54082707, 207492944, 1, 0.066944126, 90481008, 0.162765274, 7851992, n/a, n/a, n/a, n/a, 2.454946451, 923844120, 1, 0.731037363, 783053920, 0.156374308, 7851992, n/a, n/a, n/a, n/a
complex_z3.mrdi, Z/3, 8, 18, 2, 0.065498537, 11565432, 1, 0.001110947, 3879256, 0.001562835, 14584, n/a, n/a, n/a, n/a, 104.647240022, 19859096976, 446, 0.09827113, 152672512, 103.239946694, 19597265064, 6, 3, 23692, 18, 3.34547849, 1961863440, 19, 1.780189848, 1831097032, 0.001653125, 14584, n/a, n/a, n/a, n/a, 119.567520114, 31090285136, 19, 0.104309957, 152665008, 118.167349513, 30828460728, 6, 3, 27879, 18, 121.035954108, 32784185312, 2, 1.768598738, 1842621512, 117.752632618, 30810825352, 6, 3, 27879, 18, 1.423079128, 261838992, 19, 0.096407802, 152648080, 0.001821221, 14584, n/a, n/a, n/a, n/a, 3.336832988, 1978691664, 3, 1.768952846, 1846017304, 0.001596799, 14584, n/a, n/a, n/a, n/a
complex_z4_1.mrdi, Z/4, 9, 32, 1, 0.300854926, 20087112, 1, 0.000617871, 2124768, 0.236334841, 10287080, n/a, n/a, n/a, n/a, 1.675088592, 278973664, 4, 0.081735361, 158098448, 0.238921239, 10286888, n/a, n/a, n/a, n/a, 3.075697997, 1410604224, 1, 1.343336521, 1265737576, 0.235285526, 10286888, n/a, n/a, n/a, n/a, 1.637694037, 265139296, 2, 0.084785892, 144281008, 0.244380226, 10286888, n/a, n/a, n/a, n/a, 3.082024507, 1420663064, 1, 1.28144143, 1272935632, 0.236568536, 10286888, n/a, n/a, n/a, n/a, 1.641164691, 265139296, 1, 0.084215598, 144281008, 0.243452119, 10286888, n/a, n/a, n/a, n/a, 3.063200857, 1425227216, 2, 1.286357511, 1276487960, 0.231966782, 10286888, n/a, n/a, n/a, n/a
complex_z4_1.mrdi, Z/4, 9, 24, 2, 0.217383678, 22959352, 1, 0.002586557, 7750032, 0.150453058, 7533864, n/a, n/a, n/a, n/a, 1.51042502, 430882960, >500, 0.192403102, 320309008, 0.001834975, 2136, n/a, n/a, n/a, n/a, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, 1.618829367, 414210096, 2, 0.180943879, 296105008, 0.152777055, 7533688, n/a, n/a, n/a, n/a, 5.40731755, 3802766328, 2, 3.678614704, 3659049472, 0.150703473, 7533688, n/a, n/a, n/a, n/a, 1.661362067, 414218112, 13, 0.173615151, 296096080, 0.154576533, 7533704, n/a, n/a, n/a, n/a, 5.216990337, 3811068632, 2, 3.50973945, 3665195744, 0.143306298, 7533688, n/a, n/a, n/a, n/a
complex_z4_2.mrdi, Z/4, 9, 32, 1, 0.31626133, 20077232, 1, 0.000549301, 2097976, 0.2401725, 10287064, n/a, n/a, n/a, n/a, 1.654083704, 278968064, 10, 0.088993204, 158109008, 0.252084109, 10287656, n/a, n/a, n/a, n/a, 3.056372478, 1409950416, 3, 1.266562267, 1263624328, 0.231926636, 10286888, n/a, n/a, n/a, n/a, 1.630415797, 265139296, 4, 0.084313287, 144281008, 0.240996381, 10286888, n/a, n/a, n/a, n/a, 3.070961744, 1419334176, 1, 1.28782461, 1271600568, 0.233265749, 10286888, n/a, n/a, n/a, n/a, 1.632041007, 265139296, 1, 0.083283814, 144281008, 0.24181648, 10286888, n/a, n/a, n/a, n/a, 3.105308207, 1423376920, 1, 1.329379725, 1275940368, 0.232734422, 10286888, n/a, n/a, n/a, n/a
complex_z5_1.mrdi, Z/5, 10, 39, 1, 0.37578019, 23402072, 1, 0.000887857, 3228352, 0.311091294, 12496712, n/a, n/a, n/a, n/a, 1.739250326, 360096944, 23, 0.116231476, 236700080, 0.308951187, 12496536, n/a, n/a, n/a, n/a, 3.814164783, 2097450040, 2, 1.961249778, 1940351888, 0.300141032, 12496536, n/a, n/a, n/a, n/a, 1.739060639, 339036960, 2, 0.100698591, 215640080, 0.314517229, 12496552, n/a, n/a, n/a, n/a, 3.807206241, 2113013496, 3, 1.928270824, 1952577368, 0.304944329, 12496536, n/a, n/a, n/a, n/a, 1.75298188, 339036944, 6, 0.10309535, 215640080, 0.318142924, 12496536, n/a, n/a, n/a, n/a, 3.880726105, 2119379624, 1, 2.036745293, 1959017992, 0.305597274, 12496536, n/a, n/a, n/a, n/a
complex_z5_1.mrdi, Z/5, 10, 30, 2, 0.281191341, 31142000, 1, 0.005424553, 13826368, 0.212026901, 9638592, n/a, n/a, n/a, n/a, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, 8.474518698, 6641612264, 20, 6.726029391, 6485818472, 0.207823564, 9638416, n/a, n/a, n/a, n/a, 1.84683021, 639650824, 67, 0.32319502, 519129008, 0.213405627, 9638416, n/a, n/a, n/a, n/a, 8.502544949, 6673132224, 20, 6.619607587, 6515451608, 0.328680256, 9639168, n/a, n/a, n/a, n/a, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot
complex_z5_2.mrdi, Z/5, 10, 39, 1, 0.364653065, 23402328, 1, 0.000862568, 3228624, 0.302076618, 12496712, n/a, n/a, n/a, n/a, 2.210734443, 360097520, 4, 0.597901887, 236717040, 0.307594885, 12496536, n/a, n/a, n/a, n/a, 3.915321811, 2100492784, 6, 2.066748925, 1941976680, 0.303235545, 12496536, n/a, n/a, n/a, n/a, 1.746833739, 339036944, 1, 0.114124872, 215640080, 0.315276701, 12496536, n/a, n/a, n/a, n/a, 3.969462924, 2115143368, 1, 2.12525538, 1956083928, 0.320928016, 12496536, n/a, n/a, n/a, n/a, 1.744853099, 339036944, 2, 0.107421776, 215640080, 0.315366129, 12496536, n/a, n/a, n/a, n/a, 3.890306644, 2122072888, 1, 2.054370252, 1961674904, 0.304137627, 12496536, n/a, n/a, n/a, n/a
complex_z5_2.mrdi, Z/5, 10, 30, 2, 0.295516187, 31155488, 1, 0.01990753, 13839856, 0.211219029, 9638592, n/a, n/a, n/a, n/a, 1.645041967, 673227536, >500, 0.333609725, 562340944, 0.002268337, 2424, n/a, n/a, n/a, n/a, 8.951936322, 6647388616, 37, 7.199891349, 6491687880, 0.205398596, 9638416, n/a, n/a, n/a, n/a, 1.826524748, 639658824, 360, 0.289039255, 519120080, 0.214549982, 9638416, n/a, n/a, n/a, n/a, 8.924496175, 6680444152, 6, 7.195764182, 6524217840, 0.20242006, 9638416, n/a, n/a, n/a, n/a, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot
complex_z5_3.mrdi, Z/5, 10, 39, 1, 0.353137005, 23362912, 1, 0.000685206, 3189192, 0.293126817, 12496712, n/a, n/a, n/a, n/a, 1.742774789, 360109536, 32, 0.13339031, 236728864, 0.302782419, 12496536, n/a, n/a, n/a, n/a, 3.67401857, 2095697920, 4, 1.911246531, 1938635640, 0.294805568, 12496536, n/a, n/a, n/a, n/a, 1.680868181, 339036944, 8, 0.117233417, 215657008, 0.297757247, 12496536, n/a, n/a, n/a, n/a, 3.789683192, 2110682336, 2, 1.981083712, 1950129216, 0.301482058, 12496536, n/a, n/a, n/a, n/a, 1.694707605, 339044944, 2, 0.118784488, 215665008, 0.310301631, 12496536, n/a, n/a, n/a, n/a, 3.858488889, 2117068688, 1, 2.040383768, 1955390448, 0.310413521, 12496536, n/a, n/a, n/a, n/a
