#, instance, dim, nVertices, nFaces, orientable, genus, index, q, F4LvTime, F4LvMemory, F4LvTrials, F4LvTimeA, F4LvMemoryA, F4LvTimeB, F4LvMemory, F4LvmaxLenBefore, F4LvmaxDegBefore, F4LvmaxLenAfter, F4LvmaxDegAfter, F4LvfTime, F4LvfMemory, F4LvfTrials, F4LvfTimeA, F4LvfMemoryA, F4LvfTimeB, F4LvfMemory, F4LvfmaxLenBefore, F4LvfmaxDegBefore, F4LvfmaxLenAfter, F4LvfmaxDegAfter
12, 12_manifold_lex_d2_n7_o1_g1_01.mrdi, 2, 7, 21, 1, 1, 01, 1, 2.013556936, 625669904, 1, 0.491248614, 493275496, 0.113439229, 6345648, n/a, n/a, n/a, n/a, 2.128268547, 633997472, 1, 0.482085038, 492385208, 0.118786301, 6345648, n/a, n/a, n/a, n/a
12, 12_manifold_lex_d2_n7_o1_g1_01.mrdi, 2, 7, 14, 1, 1, 01, 2, 591.6340736, 9468092584, 2, 0.882304957, 895693912, 589.283740672, 8446332392, 6, 3, 524, 15, 86.618303259, 12730110792, 2, 0.887580614, 895728664, 84.212929431, 11700126856, 6, 3, 1, 0
13, 13_manifold_lex_d2_n8_o0_g1_01.mrdi, 2, 8, 21, 0, 1, 01, 1, 2.351407732, 803685712, 2, 0.665674569, 640898448, 0.185206773, 33142488, 2, 2, 40, 7, 2.384612545, 826376672, 2, 0.653339611, 639981744, 0.191058244, 47200648, 2, 2, 1, 0
13, 13_manifold_lex_d2_n8_o0_g1_01.mrdi, 2, 8, 14, 0, 1, 01, 2, 3.793900009, 2645607400, 7, 1.376822283, 1426126328, 0.91789642, 1089830824, 6, 3, 2444, 15, 5.017055427, 4392411256, 7, 1.391881684, 1426064168, 2.134908659, 2828508184, 6, 3, 1, 0
14, 14_manifold_lex_d2_n8_o0_g1_02.mrdi, 2, 8, 21, 0, 1, 02, 1, 2.213451464, 778065024, 2, 0.631487727, 642036120, 0.112876718, 6346336, n/a, n/a, n/a, n/a, 2.27483032, 786184128, 2, 0.636520693, 642030280, 0.113842019, 6346336, n/a, n/a, n/a, n/a
14, 14_manifold_lex_d2_n8_o0_g1_02.mrdi, 2, 8, 14, 0, 1, 02, 2, 10.876283571, 9061063200, 2, 1.440262405, 1428180200, 7.971259112, 7503298768, 6, 3, 13678, 21, 17.364116291, 14575793672, 2, 1.433582585, 1428157368, 14.428685274, 13009798216, 6, 3, 1, 0
15, 15_manifold_lex_d2_n8_o0_g1_03.mrdi, 2, 8, 21, 0, 1, 03, 1, 2.254437774, 777016800, 3, 0.586524759, 641101176, 0.182885711, 6346912, n/a, n/a, n/a, n/a, 2.272812418, 785527232, 3, 0.637239309, 640177496, 0.116036231, 6346336, n/a, n/a, n/a, n/a
15, 15_manifold_lex_d2_n8_o0_g1_03.mrdi, 2, 8, 14, 0, 1, 03, 2, 4.462536812, 3252365072, 2, 1.365950487, 1425907168, 1.610709959, 1695562072, 6, 3, 1840, 15, 6.499625384, 5789050336, 2, 1.366460209, 1425910688, 3.606933294, 4223969704, 6, 3, 1, 0
16, 16_manifold_lex_d2_n8_o0_g1_04.mrdi, 2, 8, 21, 0, 1, 04, 1, 2.770528197, 1312469728, 8, 0.608135402, 641599808, 0.654246078, 539813144, 2, 2, 60, 7, 2.696194549, 1182642680, 8, 0.603996163, 642530592, 0.579021418, 402288288, 2, 2, 1, 0
16, 16_manifold_lex_d2_n8_o0_g1_04.mrdi, 2, 8, 14, 0, 1, 04, 2, 11.352266411, 8374472568, 8, 1.433177637, 1428949216, 8.46787819, 6815852352, 6, 3, 10506, 20, 16.104519443, 12163192720, 8, 1.425038001, 1428915360, 13.166349099, 10596428600, 6, 3, 1, 0
17, 17_manifold_lex_d2_n8_o0_g1_05.mrdi, 2, 8, 21, 0, 1, 05, 1, 2.274596723, 777555632, 3, 0.60343978, 641632520, 0.179386727, 6346912, n/a, n/a, n/a, n/a, 2.236391379, 786092864, 3, 0.582734155, 640705432, 0.11413689, 6346336, n/a, n/a, n/a, n/a
