#, instance, dim, nVertices, nFaces, orientable, genus, index, q, QQLvTime, QQLvMemory, QQLvTrials, QQLvTimeA, QQLvMemoryA, QQLvTimeB, QQLvMemory, QQLvmaxLenBefore, QQLvmaxDegBefore, QQLvmaxLenAfter, QQLvmaxDegAfter, F2LvTime, F2LvMemory, F2LvTrials, F2LvTimeA, F2LvMemoryA, F2LvTimeB, F2LvMemory, F2LvmaxLenBefore, F2LvmaxDegBefore, F2LvmaxLenAfter, F2LvmaxDegAfter, F4LvTime, F4LvMemory, F4LvTrials, F4LvTimeA, F4LvMemoryA, F4LvTimeB, F4LvMemory, F4LvmaxLenBefore, F4LvmaxDegBefore, F4LvmaxLenAfter, F4LvmaxDegAfter, F3LvTime, F3LvMemory, F3LvTrials, F3LvTimeA, F3LvMemoryA, F3LvTimeB, F3LvMemory, F3LvmaxLenBefore, F3LvmaxDegBefore, F3LvmaxLenAfter, F3LvmaxDegAfter, F9LvTime, F9LvMemory, F9LvTrials, F9LvTimeA, F9LvMemoryA, F9LvTimeB, F9LvMemory, F9LvmaxLenBefore, F9LvmaxDegBefore, F9LvmaxLenAfter, F9LvmaxDegAfter, F5LvTime, F5LvMemory, F5LvTrials, F5LvTimeA, F5LvMemoryA, F5LvTimeB, F5LvMemory, F5LvmaxLenBefore, F5LvmaxDegBefore, F5LvmaxLenAfter, F5LvmaxDegAfter, F25LvTime, F25LvMemory, F25LvTrials, F25LvTimeA, F25LvMemoryA, F25LvTimeB, F25LvMemory, F25LvmaxLenBefore, F25LvmaxDegBefore, F25LvmaxLenAfter, F25LvmaxDegAfter, F7919LvTime, F7919LvMemory, F7919LvTrials, F7919LvTimeA, F7919LvMemoryA, F7919LvTimeB, F7919LvMemory, F7919LvmaxLenBefore, F7919LvmaxDegBefore, F7919LvmaxLenAfter, F7919LvmaxDegAfter, F62710561LvTime, F62710561LvMemory, F62710561LvTrials, F62710561LvTimeA, F62710561LvMemoryA, F62710561LvTimeB, F62710561LvMemory, F62710561LvmaxLenBefore, F62710561LvmaxDegBefore, F62710561LvmaxLenAfter, F62710561LvmaxDegAfter
01, 01_manifold_lex_d2_n6_o0_g1_01.mrdi, 2, 6, 15, 0, 1, 01, 1, 0.123752914, 12435464, 1, 0.000102883, 405816, 0.063680171, 4322232, n/a, n/a, n/a, n/a, 1.33641209, 145593200, 1, 0.009545938, 32496080, 0.065862745, 4322056, n/a, n/a, n/a, n/a, 1.785697746, 377845784, 1, 0.273152641, 250560352, 0.06379223, 4322040, n/a, n/a, n/a, n/a, 1.356120312, 145608752, 1, 0.0094087, 32496080, 0.065746036, 4322040, n/a, n/a, n/a, n/a, 1.765956824, 379982136, 1, 0.254566864, 252067360, 0.063206382, 4322040, n/a, n/a, n/a, n/a, 1.363094153, 145609296, 1, 0.033299639, 32513008, 0.066443775, 4322040, n/a, n/a, n/a, n/a, 1.800474367, 381099496, 1, 0.282581237, 252702096, 0.065872072, 4322040, n/a, n/a, n/a, n/a, 1.358278851, 145608944, 1, 0.033706171, 32513008, 0.065176047, 4322040, n/a, n/a, n/a, n/a, 2.060934687, 590767848, 1, 0.542655794, 456459776, 0.061524807, 4322040, n/a, n/a, n/a, n/a
01, 01_manifold_lex_d2_n6_o0_g1_01.mrdi, 2, 6, 10, 0, 1, 01, 2, 0.096129104, 11029536, 1, 0.000176141, 778104, 0.034910771, 2544016, n/a, n/a, n/a, n/a, 1.378814845, 176236976, 8, 0.012438033, 34364080, 0.102095246, 33099000, 6, 3, 14, 7, 1.902592635, 527184480, 1, 0.375581722, 370714248, 0.071752634, 33430712, 6, 3, 14, 7, 1.309569464, 145683144, 7, 0.012353364, 34365584, 0.035024754, 2543856, n/a, n/a, n/a, n/a, 1.872324935, 498618976, 1, 0.380929163, 372417984, 0.034927413, 2543840, n/a, n/a, n/a, n/a, 1.337587383, 145699576, 7, 0.036045991, 34382032, 0.035107331, 2543840, n/a, n/a, n/a, n/a, 1.859822765, 499799920, 1, 0.372908846, 373144448, 0.035816361, 2543840, n/a, n/a, n/a, n/a, 1.34096401, 145699336, 1, 0.037549713, 34381792, 0.035969738, 2543840, n/a, n/a, n/a, n/a, 2.420384352, 851634128, 1, 0.87674025, 717893152, 0.033213287, 2543840, n/a, n/a, n/a, n/a
02, 02_manifold_lex_d2_n6_o1_g0_01.mrdi, 2, 6, 12, 1, 0, 01, 1, 0.113789025, 11295320, 1, 9.3826e-5, 322456, 0.047047018, 3265256, n/a, n/a, n/a, n/a, 1.318767581, 138674864, 4, 0.008201256, 26636080, 0.046099151, 3265080, n/a, n/a, n/a, n/a, 1.689324444, 327625384, 1, 0.195865589, 201321728, 0.047131498, 3265064, n/a, n/a, n/a, n/a, 1.315164311, 138674864, 6, 0.008225802, 26636080, 0.046840131, 3265080, n/a, n/a, n/a, n/a, 1.712213564, 329535336, 1, 0.209252362, 202554608, 0.046390928, 3265064, n/a, n/a, n/a, n/a, 1.346296093, 138691776, 2, 0.032300124, 26653008, 0.047076805, 3265064, n/a, n/a, n/a, n/a, 1.679041865, 330493512, 1, 0.188256593, 203118880, 0.045914485, 3265064, n/a, n/a, n/a, n/a, 1.347624345, 138691968, 1, 0.032153359, 26653008, 0.048088943, 3265064, n/a, n/a, n/a, n/a, 1.941246152, 497049208, 1, 0.448366723, 363760304, 0.044815873, 3265064, n/a, n/a, n/a, n/a
02, 02_manifold_lex_d2_n6_o1_g0_01.mrdi, 2, 6, 8, 1, 0, 01, 2, 0.087140964, 10214696, 1, 0.00013854, 624184, 0.025736942, 1883096, n/a, n/a, n/a, n/a, 1.299252681, 138885248, 17, 0.010232837, 28228080, 0.026198027, 1882920, n/a, n/a, n/a, n/a, 1.771586506, 423254400, 1, 0.298150181, 298347416, 0.025999484, 1882904, n/a, n/a, n/a, n/a, 1.312634526, 138884704, 6, 0.010416952, 28228080, 0.025928962, 1882920, n/a, n/a, n/a, n/a, 1.76759614, 425487928, 1, 0.287843847, 300000720, 0.0256457, 1882904, n/a, n/a, n/a, n/a, 1.323707247, 138901616, 2, 0.035598552, 28245008, 0.026686734, 1882904, n/a, n/a, n/a, n/a, 1.763418233, 426676968, 1, 0.290608684, 300686400, 0.026314265, 1882904, n/a, n/a, n/a, n/a, 1.313278523, 138884704, 1, 0.010527429, 28228080, 0.026263148, 1882920, n/a, n/a, n/a, n/a, 2.213408231, 708706024, 1, 0.730621576, 576798848, 0.02438749, 1882904, n/a, n/a, n/a, n/a
03, 03_manifold_lex_d2_n6_o1_g0_02.mrdi, 2, 6, 12, 1, 0, 02, 1, 0.11006551, 11295240, 1, 8.6933e-5, 322568, 0.047189366, 3265256, n/a, n/a, n/a, n/a, 1.345963188, 138692192, 1, 0.007771369, 26636080, 0.072820719, 3282408, n/a, n/a, n/a, n/a, 1.68802139, 327540680, 1, 0.196536547, 201305232, 0.047409539, 3265064, n/a, n/a, n/a, n/a, 1.338668634, 138691776, 1, 0.008051895, 26636080, 0.047402235, 3265064, n/a, n/a, n/a, n/a, 1.702633462, 329475672, 2, 0.194974567, 202550896, 0.046385257, 3265064, n/a, n/a, n/a, n/a, 1.327653861, 138674864, 1, 0.00813994, 26636080, 0.046930179, 3265080, n/a, n/a, n/a, n/a, 1.747088418, 330478168, 1, 0.247284318, 203103328, 0.048828421, 3265064, n/a, n/a, n/a, n/a, 1.353548619, 138691776, 1, 0.033042908, 26653008, 0.046912296, 3265064, n/a, n/a, n/a, n/a, 1.944168625, 497201016, 1, 0.403759835, 362604592, 0.044870859, 3265064, n/a, n/a, n/a, n/a
03, 03_manifold_lex_d2_n6_o1_g0_02.mrdi, 2, 6, 8, 1, 0, 02, 2, 0.088068749, 10214408, 1, 0.000153348, 623896, 0.025910501, 1883096, n/a, n/a, n/a, n/a, 1.323535121, 138901616, 8, 0.032824625, 28245008, 0.025657516, 1882904, n/a, n/a, n/a, n/a, 1.762686899, 423213544, 1, 0.285241099, 298297696, 0.027038617, 1882904, n/a, n/a, n/a, n/a, 1.300468798, 138884704, 4, 0.01062079, 28228080, 0.025728298, 1882920, n/a, n/a, n/a, n/a, 1.760002031, 425498632, 2, 0.280049416, 299936320, 0.025902376, 1882904, n/a, n/a, n/a, n/a, 1.2967983, 138884704, 1, 0.010557461, 28228080, 0.02584101, 1882920, n/a, n/a, n/a, n/a, 1.766801019, 426576696, 1, 0.285870359, 300658352, 0.026045904, 1882904, n/a, n/a, n/a, n/a, 1.32961468, 138902352, 1, 0.035339143, 28245008, 0.026679965, 1882904, n/a, n/a, n/a, n/a, 2.230308069, 708837736, 1, 0.744479117, 576967648, 0.024621612, 1882904, n/a, n/a, n/a, n/a
04, 04_manifold_lex_d2_n7_o0_g1_01.mrdi, 2, 7, 18, 0, 1, 01, 1, 0.074217087, 13322040, 1, 0.000156023, 668336, 0.012566842, 4945184, 2, 2, 6, 3, 1.342917262, 164908264, 5, 0.038987699, 51362672, 0.017828895, 4563888, 2, 2, 6, 3, 1.875441892, 546752152, 1, 0.395049511, 416233192, 0.017161233, 4540064, 2, 2, 6, 3, 1.316726265, 164906776, 1, 0.038752228, 51361008, 0.017305073, 4564064, 2, 2, 6, 3, 1.886198856, 550371616, 2, 0.41450067, 418889088, 0.016718663, 4540400, 2, 2, 6, 3, 1.328239159, 164902568, 2, 0.039783923, 51361008, 0.017045836, 4559856, 2, 2, 6, 3, 1.932600067, 551987408, 1, 0.4504668, 419961680, 0.01742654, 4564736, 2, 2, 6, 3, 1.323044381, 164904408, 1, 0.04018169, 51361008, 0.017267031, 4561504, 2, 2, 6, 3, 2.390826759, 904183056, 1, 0.917549739, 763336416, 0.015192789, 4539392, 2, 2, 6, 3
04, 04_manifold_lex_d2_n7_o0_g1_01.mrdi, 2, 7, 12, 0, 1, 01, 2, 0.11000394, 12604912, 1, 0.000372709, 1624688, 0.047490916, 3271704, n/a, n/a, n/a, n/a, 1.49095473, 294475784, 16, 0.049793036, 67505008, 0.176312446, 117989072, 6, 3, 220, 12, 2.430566229, 1011862264, 11, 0.781282858, 768682712, 0.194516205, 117233536, 6, 3, 220, 12, 1.371249056, 179758768, 5, 0.049528389, 67505008, 0.047772013, 3271512, n/a, n/a, n/a, n/a, 2.270349225, 902746528, 4, 0.765633653, 772564824, 0.046543217, 3271512, n/a, n/a, n/a, n/a, 1.370728669, 179758224, 10, 0.049442187, 67505008, 0.047563191, 3271512, n/a, n/a, n/a, n/a, 2.25757227, 904686192, 1, 0.711987247, 772997080, 0.046979446, 3271512, n/a, n/a, n/a, n/a, 1.377866673, 179758224, 1, 0.051082555, 67505008, 0.05022197, 3271512, n/a, n/a, n/a, n/a, 3.353000915, 1630046120, 1, 1.793432743, 1489169552, 0.043630622, 3271512, n/a, n/a, n/a, n/a
05, 05_manifold_lex_d2_n7_o0_g1_02.mrdi, 2, 7, 18, 0, 1, 02, 1, 0.067907597, 8381792, 1, 0.000164298, 668240, 0.001624759, 5032, n/a, n/a, n/a, n/a, 1.309460968, 160347728, 1, 0.039917643, 51361008, 0.001661647, 5016, n/a, n/a, n/a, n/a, 1.852783869, 543507168, 1, 0.388804772, 417552936, 0.001614228, 5016, n/a, n/a, n/a, n/a, 1.306049098, 160348608, 1, 0.039739248, 51361152, 0.001708665, 5016, n/a, n/a, n/a, n/a, 1.901058129, 547382992, 1, 0.425875308, 420416856, 0.001669682, 5016, n/a, n/a, n/a, n/a, 1.304530896, 160348272, 1, 0.038303747, 51361008, 0.00163956, 5016, n/a, n/a, n/a, n/a, 1.907236359, 549161288, 1, 0.45072426, 421627008, 0.001442708, 5016, n/a, n/a, n/a, n/a, 1.320284621, 160348272, 1, 0.03978622, 51361008, 0.001684491, 5016, n/a, n/a, n/a, n/a, 2.399282982, 905225048, 1, 0.939558032, 768908224, 0.001472634, 5032, n/a, n/a, n/a, n/a
05, 05_manifold_lex_d2_n7_o0_g1_02.mrdi, 2, 7, 12, 0, 1, 02, 2, 0.112193128, 12604096, 1, 0.000367981, 1624336, 0.047006688, 3271240, n/a, n/a, n/a, n/a, 4.547755308, 1963319936, 19, 0.049380574, 67505008, 3.220613475, 1786833032, 6, 3, 920, 15, 5.449478203, 2682489520, 3, 0.747790325, 770827936, 3.239639646, 1785632672, 6, 3, 920, 15, 1.378565528, 179758192, 5, 0.024395361, 67488080, 0.065772277, 3271480, n/a, n/a, n/a, n/a, 2.292359703, 905465464, 1, 0.766301586, 775254784, 0.046419932, 3271064, n/a, n/a, n/a, n/a, 1.356695136, 179757776, 1, 0.024314368, 67488080, 0.04661635, 3271064, n/a, n/a, n/a, n/a, 2.275674795, 907898984, 1, 0.723839884, 775978272, 0.046510692, 3271064, n/a, n/a, n/a, n/a, 1.360289364, 179757776, 1, 0.050004679, 67505008, 0.048063735, 3271064, n/a, n/a, n/a, n/a, 3.396457968, 1640466088, 1, 1.840219668, 1499580992, 0.043642775, 3271064, n/a, n/a, n/a, n/a
